"genus","n_species","n_entries","taxon_id","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_info_15","phylo_info_16","phylo_info_17","phylo_lineage"
"Mytilus",1,1,6550,"Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Mollusca","Bivalvia","Autobranchia","Pteriomorphia","Mytilida","Mytiloidea","Mytilidae",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Pteriomorphia; Mytilida; Mytiloidea; Mytilidae"
"Myzus",1,1,13164,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Sternorrhyncha",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha"
"Nematostella",1,1,45351,"Eukaryota","Metazoa","Cnidaria","Anthozoa","Hexacorallia","Actiniaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Actiniaria"
"Nephila",1,1,299642,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Nephilidae",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Araneoidea; Nephilidae"
"Nicrophorus",1,1,110193,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga"
"Nylanderia",1,1,613905,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
"Nymphalis",1,1,171585,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata","Ditrysia","Papilionoidea","Nymphalidae","Nymphalinae","Nymphalis",NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Nymphalis"
"Ooceraea",1,1,2015173,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
"Orchesella",1,1,48709,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha","Entomobryoidea","Orchesellidae","Orchesellinae",NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Collembola; Entomobryomorpha; Entomobryoidea; Orchesellidae; Orchesellinae"
"Ostrinia",1,1,93504,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Papilio",1,1,76193,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Paramuricea",1,1,317549,"Eukaryota","Metazoa","Cnidaria","Anthozoa","Octocorallia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia"
