"genus","n_species","n_entries","taxon_id","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_info_15","phylo_info_16","phylo_info_17","phylo_info_18","phylo_lineage"
"Magallana",1,1,"29159","Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Mollusca","Bivalvia","Autobranchia","Pteriomorphia","Ostreida","Ostreoidea","Ostreidae",NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Pteriomorphia; Ostreida; Ostreoidea; Ostreidae"
"Mastacembelus",1,1,"205130","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Anabantaria","Synbranchiformes","Mastacembelidae",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Anabantaria; Synbranchiformes; Mastacembelidae"
"Maylandia",1,1,"106582","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Cichlomorphae","Cichliformes","Cichlidae","African cichlids","Pseudocrenilabrinae","Haplochromini","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini"
"Melanotaenia",1,1,"1250792","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Atheriniformes",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Atheriniformes"
"Merluccius",1,1,"89951","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Zeiogadaria","Gadariae","Gadiformes","Gadoidei",NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Zeiogadaria; Gadariae; Gadiformes; Gadoidei"
"Micropterus",1,1,"147949","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Centrarchiformes","Centrarchoidei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Centrarchiformes; Centrarchoidei"
"Mizuhopecten",1,1,"6573","Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Mollusca","Bivalvia","Autobranchia","Pteriomorphia","Pectinida","Pectinoidea","Pectinidae",NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Pteriomorphia; Pectinida; Pectinoidea; Pectinidae"
"Monopterus",1,1,"43700","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Anabantaria","Synbranchiformes","Synbranchidae",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Anabantaria; Synbranchiformes; Synbranchidae"
"Morone",1,1,"34816","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei"
"Mugil",1,1,"48193","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei"
